Team,Sh,SoT,Dist,FK,PK,PKatt,GF,GA,xG,xGA,Poss,KP,1/3,PPA,CrsPA,Prog,Att 3rd,Att Pen,SCA,TB,Season,Points,Points per match
Manchester City,17.263157894736842,6.684210526315789,17.80526315789474,0.7894736842105263,0.15789473684210525,0.21052631578947367,2.789473684210526,0.7105263157894737,2.06578947368421,0.6210526315789473,70.97368421052632,13.105263157894736,53.31578947368421,13.81578947368421,1.1578947368421053,45.44736842105263,253.60526315789474,32.89473684210526,31.81578947368421,3.1052631578947367,2017,100,2.6315789473684212
Manchester United,13.394736842105264,4.473684210526316,18.05526315789474,0.5526315789473685,0.02631578947368421,0.07894736842105263,1.7894736842105263,0.7368421052631579,1.468421052631579,1.0763157894736848,54.71052631578947,9.921052631578947,34.8421052631579,9.394736842105264,1.9210526315789473,30.736842105263158,185.02631578947367,23.44736842105263,24.105263157894736,2.236842105263158,2017,81,2.1315789473684212
Tottenham Hotspur,16.31578947368421,5.5,18.568421052631578,0.7368421052631579,0.05263157894736842,0.07894736842105263,1.9473684210526316,0.9473684210526315,1.7,0.8894736842105264,61.78947368421053,12.157894736842104,47.18421052631579,10.368421052631579,1.6578947368421053,43.421052631578945,194.18421052631578,24.68421052631579,28.710526315789473,2.1842105263157894,2017,77,2.026315789473684
Liverpool,16.710526315789473,5.947368421052632,17.599999999999998,0.5789473684210527,0.05263157894736842,0.07894736842105263,2.210526315789474,1.0,1.9131578947368422,0.8921052631578947,60.26315789473684,12.842105263157896,46.39473684210526,12.210526315789474,1.763157894736842,45.6578947368421,189.71052631578948,27.789473684210527,29.94736842105263,2.789473684210526,2017,75,1.9736842105263157
Chelsea,15.868421052631579,5.526315789473684,17.518421052631577,0.5263157894736842,0.07894736842105263,0.07894736842105263,1.631578947368421,1.0,1.423684210526316,0.8868421052631578,55.63157894736842,12.68421052631579,37.6578947368421,10.473684210526315,1.9473684210526316,36.71052631578947,190.92105263157896,26.105263157894736,29.342105263157894,1.8157894736842106,2017,70,1.8421052631578947
Arsenal,15.5,5.868421052631579,18.023684210526312,0.7894736842105263,0.10526315789473684,0.13157894736842105,1.9473684210526316,1.3421052631578947,1.8,1.2578947368421054,61.44736842105263,11.68421052631579,43.63157894736842,12.578947368421053,1.2894736842105263,42.421052631578945,216.55263157894737,28.894736842105264,28.394736842105264,3.0789473684210527,2017,63,1.6578947368421053
Burnley,9.947368421052632,3.3157894736842106,17.155263157894737,0.42105263157894735,0.0,0.0,0.9473684210526315,1.0263157894736843,0.8605263157894736,1.344736842105263,43.73684210526316,7.315789473684211,25.63157894736842,5.605263157894737,2.3421052631578947,21.210526315789473,112.92105263157895,15.421052631578947,17.5,0.5,2017,54,1.4210526315789473
Everton,9.236842105263158,2.8947368421052633,17.80789473684211,0.21052631578947367,0.13157894736842105,0.21052631578947367,1.1578947368421053,1.5263157894736843,1.0657894736842106,1.3789473684210527,45.526315789473685,6.921052631578948,27.473684210526315,5.552631578947368,1.8421052631578947,22.263157894736842,127.52631578947368,15.763157894736842,16.5,0.6578947368421053,2017,49,1.2894736842105263
Leicester City,10.973684210526315,3.6052631578947367,17.539473684210527,0.2894736842105263,0.13157894736842105,0.15789473684210525,1.4736842105263157,1.5789473684210527,1.3184210526315792,1.2710526315789468,47.973684210526315,7.815789473684211,26.57894736842105,5.921052631578948,1.894736842105263,23.342105263157894,129.42105263157896,17.710526315789473,19.157894736842106,1.6578947368421053,2017,47,1.236842105263158
Newcastle United,11.842105263157896,3.8421052631578947,19.250000000000004,0.5526315789473685,0.0,0.02631578947368421,1.0263157894736843,1.236842105263158,1.094736842105263,1.3789473684210527,41.71052631578947,8.447368421052632,23.973684210526315,5.7894736842105265,1.9736842105263157,23.289473684210527,118.05263157894737,15.736842105263158,20.57894736842105,1.763157894736842,2017,44,1.1578947368421053
